,placement,player,archetype,deck_id,deck_cost
0,1,Jacob Phinney,Burning Abyss,phantom-knights-burning-abyss-395936,$45.54
1,2,Aaron Chase Furman,Kozmo,demise-kozmo-395938,$54.62
2,3,Clifton Land,Performapal,dracoslayer-performapal-395939,$66.21
3,4,<unknown duelist>,,,
4,5,Alexander Singh Juneja,Burning Abyss,phantom-knights-burning-abyss-395940,$67.41
5,6,Christian Georges,Monarch,,
6,7,Chester Hawk Henson,,,
7,8,<unknown duelist>,,,
8,9,Darren Stephenson,Burning Abyss,monarch-burning-abyss-395941,$78.15
9,10,Louis Poma,Performapal,dracoslayer-performapal-395942,$68.32
10,11,Scott Page,Performapal,dracoslayer-performapal-395943,$71.05
11,12,Collin Reardon,Monarch,monarch-395945,$89.25
12,13,Sean Robert Munn,,,
13,14, Larry Dean Musgrove Jr.,,,
14,15,Peter NJ Cheng,,,
15,16,Vincent Edgar Campana,,,
16,17,Cordero Spencer,Majespecter,demise-majespecter-395947,$63.60
17,18,Mike Shaw,Kozmo,fire-king-kozmo-395948,$92.29
18,19,Andrew Pham,Monarch,tzolkin-monarch-395946,$90.01
19,20,Yifei Yang,Kozmo,demise-kozmo-395949,$88.41
20,21,David Edwards,Monarch,monarch-395951,$91.24
21,22,Ryan Levine,Monarch,monarch-395950,$89.33
22,23,<10 unknown Top 32 duelists>,,,
